sflow_config_file,SLURM_NODES,GPUS_PER_NODE,NUM_CTX_SERVERS,CTX_TP_SIZE,NUM_GEN_SERVERS,GEN_TP_SIZE,NUM_AGG_SERVERS,AGG_TP_SIZE,NUM_FRONTENDS,CONCURRENCY,SERVED_MODEL_NAME,LOCAL_MODEL_PATH,DYNAMO_IMAGE,missable_tasks
slurm_config.yaml common_workflow.yaml trtllm/prefill.yaml trtllm/decode.yaml benchmark_infmax.yaml,1,4,1,2,1,2,,,1,[16],Qwen3-8B-FP8,fs:///home/rogliu/gcn/builds/Qwen3-8B-FP8,nvcr.io/nvidia/ai-dynamo/tensorrtllm-runtime:0.8.1.post2,agg_server
slurm_config.yaml common_workflow.yaml trtllm/prefill.yaml trtllm/decode.yaml benchmark_infmax.yaml,2,4,4,1,1,4,,,2,[32],Qwen3-8B-FP8,fs:///home/rogliu/gcn/builds/Qwen3-8B-FP8,nvcr.io/nvidia/ai-dynamo/tensorrtllm-runtime:0.8.1.post2,agg_server
slurm_config.yaml common_workflow.yaml sglang/prefill.yaml sglang/decode.yaml benchmark_infmax.yaml,1,4,2,1,1,2,,,1,"[1,4]",Qwen3-8B-FP8,fs:///home/rogliu/gcn/builds/Qwen3-8B-FP8,lmsysorg/sglang:v0.5.8.post1-cu130,agg_server
slurm_config.yaml common_workflow.yaml sglang/prefill.yaml sglang/decode.yaml benchmark_infmax.yaml,2,4,2,2,1,4,,,2,"[2,4,6]",Qwen3-8B-FP8,fs:///home/rogliu/gcn/builds/Qwen3-8B-FP8,nvcr.io/nvidia/ai-dynamo/sglang-runtime:0.8.0,agg_server
slurm_config.yaml common_workflow.yaml vllm/prefill.yaml vllm/decode.yaml benchmark_infmax.yaml,2,4,2,1,3,2,,,1,[8],Qwen3-8B-FP8,fs:///home/rogliu/gcn/builds/Qwen3-8B-FP8,nvcr.io/nvidia/ai-dynamo/vllm-runtime:0.8.0,agg_server
slurm_config.yaml common_workflow.yaml vllm/prefill.yaml vllm/decode.yaml benchmark_infmax.yaml,3,4,4,1,1,8,,,3,"[64,32]",Qwen3-8B-FP8,fs:///home/rogliu/gcn/builds/Qwen3-8B-FP8,nvcr.io/nvidia/ai-dynamo/vllm-runtime:0.8.0,agg_server
slurm_config.yaml common_workflow.yaml trtllm/agg.yaml benchmark_aiperf.yaml,1,4,,,,,1,4,1,"[1,3,5]",Qwen3-8B-FP8,fs:///home/rogliu/gcn/builds/Qwen3-8B-FP8,nvcr.io/nvidia/ai-dynamo/tensorrtllm-runtime:0.8.1.post2,prefill_server decode_server
slurm_config.yaml common_workflow.yaml sglang/agg.yaml benchmark_aiperf.yaml,2,4,,,,,1,8,2,[10],Qwen3-8B-FP8,fs:///home/rogliu/gcn/builds/Qwen3-8B-FP8,nvcr.io/nvidia/ai-dynamo/sglang-runtime:0.8.0,prefill_server decode_server
slurm_config.yaml common_workflow.yaml vllm/agg.yaml benchmark_aiperf.yaml,1,4,,,,,2,2,1,[128],Qwen3-8B-FP8,fs:///home/rogliu/gcn/builds/Qwen3-8B-FP8,nvcr.io/nvidia/ai-dynamo/vllm-runtime:0.8.0,prefill_server decode_server
